source_file,region,number,source_row,article,cadastral_number,area_ha,price_per_sotka_rub,price_per_plot_rub,sale_price_rub,discount_limit_percent,wholesale_only,service_notes,recommended_usage,land_use,owner,partner,right_date,balance_value,valuation_per_sotka,valuation_per_plot,context,recommendations,location_description,best_use
chemalsk.csv,7 Чемаль. рн,182.0,226,28-Ч2,04:05:090101:699,0.4783,8000.0,382640.0,,,,"АВИТО - ЛЯДЫ, текст в конце таблицы","2, 4, 5",КФХ,ИМПЛЕМЕНТ-ИНВЕСТ,,2025-01-17,3033183.0,,,№1 КП Горный ЧЕБА (р.ЧЕБА),,"Доступ на вертолетах, выше р. Чеба. Частично лес.","В АВИТО: Вертолетные туры. Среди скал с редким лесом. Вокруг тайга. Малодоступный, площадь 0,4 Га, 290 тыс. "
chemalsk.csv,7 Чемаль. рн,183.0,227,28-Ч3,04:05:090101:700,1.4685,8000.0,1174800.0,,,,АВИТО - ЛЯДЫ,"2, 4, 5",КФХ,ИМПЛЕМЕНТ-ИНВЕСТ,,2025-01-17,9312627.0,,,№1 КП Горный ЧЕБА (р.ЧЕБА),,"Доступ на вертолетах, выше р. Чеба. Частично лес.",
chemalsk.csv,7 Чемаль. рн,206.0,250,28-Ч26,04:05:090101:724,0.8926,8000.0,714080.0,,,,АВИТО - ЛЯДЫ,"2, 4, 5",КФХ,ИМПЛЕМЕНТ-ИНВЕСТ,,2025-01-17,5660505.0,,,№1 КП Горный ЧЕБА (р.ЧЕБА),,"Доступ на вертолетах, выше р. Чеба. Частично лес.",
chemalsk.csv,7 Чемаль. рн,214.0,258,28-Ч34,04:05:090101:732,4.8024,8000.0,3841920.0,,,,АВИТО - ЛЯДЫ,"2, 4, 5",КФХ,ИМПЛЕМЕНТ-ИНВЕСТ,,2025-01-17,30454860.0,,,№1 КП Горный ЧЕБА (р.ЧЕБА),,"Доступ на вертолетах, выше р. Чеба. Частично лес. По участку идет вверх дорога, которая начинается на уч :690 , можно так же съехать на :985",
chemalsk.csv,7 Чемаль. рн,226.0,273,26-Ч1,04:05:090101:764,0.1239,30000.0,371700.0,30000.0,,"ОПТ, возможны скидки до 50%",Поставить в АВИТО,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,390411.0,,,"№2 КП Горный Кедр ЧЕБА (р.ЧЕБА) | Для горно таежной туристической заимки, глемпов, для сельского хозяйства ( вся тайга ваша!). Уч-к высоко в горах на склонах в кедровой тайге. Дорога проходима только на вездеходе.","Для горно таежной туристической заимки, глемпов, для сельского хозяйства ( вся тайга ваша!). Уч-к высоко в горах на склонах в кедровой тайге. Дорога проходима только на вездеходе.",,
chemalsk.csv,7 Чемаль. рн,227.0,274,26-Ч2,04:05:090101:765,0.2044,30000.0,613200.0,30000.0,,"ОПТ, возможны скидки до 50%",Поставить в АВИТО,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,644067.0,,,"№2 КП Горный Кедр ЧЕБА (р.ЧЕБА) | Для горно таежной туристической заимки, глемпов, для сельского хозяйства ( вся тайга ваша!). Уч-к высоко в горах на склонах в кедровой тайге. Дорога проходима только на вездеходе.",,,
chemalsk.csv,7 Чемаль. рн,228.0,275,26-Ч3,04:05:090101:766,0.1592,30000.0,477600.0,30000.0,,"ОПТ, возможны скидки до 50%",Поставить в АВИТО,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,501641.0,,,"№2 КП Горный Кедр ЧЕБА (р.ЧЕБА) | Для горно таежной туристической заимки, глемпов, для сельского хозяйства ( вся тайга ваша!). Уч-к высоко в горах на склонах в кедровой тайге. Дорога проходима только на вездеходе.",,,
chemalsk.csv,7 Чемаль. рн,229.0,276,26-Ч4,04:05:090101:767,0.1325,30000.0,397500.0,30000.0,,"ОПТ, возможны скидки до 50%",Поставить в АВИТО,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,417509.0,,,"№2 КП Горный Кедр ЧЕБА (р.ЧЕБА) | Для горно таежной туристической заимки, глемпов, для сельского хозяйства ( вся тайга ваша!). Уч-к высоко в горах на склонах в кедровой тайге. Дорога проходима только на вездеходе.",,,
chemalsk.csv,7 Чемаль. рн,230.0,277,26-Ч5,04:05:090101:768,0.1208,30000.0,362400.0,30000.0,,"ОПТ, возможны скидки до 50%",Поставить в АВИТО,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,380642.0,,,"№2 КП Горный Кедр ЧЕБА (р.ЧЕБА) | Для горно таежной туристической заимки, глемпов, для сельского хозяйства ( вся тайга ваша!). Уч-к высоко в горах на склонах в кедровой тайге. Дорога проходима только на вездеходе.",,,
chemalsk.csv,7 Чемаль. рн,231.0,278,26-Ч6,04:05:090101:769,0.1563,30000.0,468900.0,30000.0,,"ОПТ, возможны скидки до 50%",Поставить в АВИТО,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,492503.0,,,"№2 КП Горный Кедр ЧЕБА (р.ЧЕБА) | Для горно таежной туристической заимки, глемпов, для сельского хозяйства ( вся тайга ваша!). Уч-к высоко в горах на склонах в кедровой тайге. Дорога проходима только на вездеходе.",,,
chemalsk.csv,7 Чемаль. рн,232.0,279,26-Ч7,04:05:090101:770,0.1512,30000.0,453600.0,30000.0,,"ОПТ, возможны скидки до 50%",Поставить в АВИТО,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,476433.0,,,"№2 КП Горный Кедр ЧЕБА (р.ЧЕБА) | Для горно таежной туристической заимки, глемпов, для сельского хозяйства ( вся тайга ваша!). Уч-к высоко в горах на склонах в кедровой тайге. Дорога проходима только на вездеходе.",,,
chemalsk.csv,7 Чемаль. рн,233.0,280,26-Ч8,04:05:090101:771,0.1477,30000.0,443100.0,30000.0,,"ОПТ, возможны скидки до 50%",Поставить в АВИТО,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,465405.0,,,"№2 КП Горный Кедр ЧЕБА (р.ЧЕБА) | Для горно таежной туристической заимки, глемпов, для сельского хозяйства ( вся тайга ваша!). Уч-к высоко в горах на склонах в кедровой тайге. Дорога проходима только на вездеходе.",,,
chemalsk.csv,7 Чемаль. рн,234.0,281,26-Ч9,04:05:090101:772,0.3235,30000.0,970500.0,30000.0,,"ОПТ, возможны скидки до 50%",Поставить в АВИТО,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,1019353.0,,,"№2 КП Горный Кедр ЧЕБА (р.ЧЕБА) | Для горно таежной туристической заимки, глемпов, для сельского хозяйства ( вся тайга ваша!). Уч-к высоко в горах на склонах в кедровой тайге. Дорога проходима только на вездеходе.",,,
chemalsk.csv,7 Чемаль. рн,235.0,282,26-Ч10,04:05:090101:773,0.1333,30000.0,399900.0,30000.0,,"ОПТ, возможны скидки до 50%",Поставить в АВИТО,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,420030.0,,,"№2 КП Горный Кедр ЧЕБА (р.ЧЕБА) | Для горно таежной туристической заимки, глемпов, для сельского хозяйства ( вся тайга ваша!). Уч-к высоко в горах на склонах в кедровой тайге. Дорога проходима только на вездеходе.",,,
chemalsk.csv,7 Чемаль. рн,236.0,283,26-Ч11,04:05:090101:774,0.1895,30000.0,568500.0,30000.0,,"ОПТ, возможны скидки до 50%",Поставить в АВИТО,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,597117.0,,,"№2 КП Горный Кедр ЧЕБА (р.ЧЕБА) | Для горно таежной туристической заимки, глемпов, для сельского хозяйства ( вся тайга ваша!). Уч-к высоко в горах на склонах в кедровой тайге. Дорога проходима только на вездеходе.",,,
chemalsk.csv,7 Чемаль. рн,237.0,284,26-Ч12,04:05:090101:775,0.1324,30000.0,397200.0,30000.0,,"ОПТ, возможны скидки до 50%",Поставить в АВИТО,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,417194.0,,,"№2 КП Горный Кедр ЧЕБА (р.ЧЕБА) | Для горно таежной туристической заимки, глемпов, для сельского хозяйства ( вся тайга ваша!). Уч-к высоко в горах на склонах в кедровой тайге. Дорога проходима только на вездеходе.",,,
chemalsk.csv,7 Чемаль. рн,238.0,285,26-Ч13,04:05:090101:776,0.265,30000.0,795000.0,30000.0,,"ОПТ, возможны скидки до 50%",Поставить в АВИТО,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,835018.0,,,"№2 КП Горный Кедр ЧЕБА (р.ЧЕБА) | Для горно таежной туристической заимки, глемпов, для сельского хозяйства ( вся тайга ваша!). Уч-к высоко в горах на склонах в кедровой тайге. Дорога проходима только на вездеходе.",,,
chemalsk.csv,7 Чемаль. рн,239.0,286,26-Ч14,04:05:090101:777,0.12,30000.0,360000.0,30000.0,,"ОПТ, возможны скидки до 50%",Поставить в АВИТО,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,378122.0,,,"№2 КП Горный Кедр ЧЕБА (р.ЧЕБА) | Для горно таежной туристической заимки, глемпов, для сельского хозяйства ( вся тайга ваша!). Уч-к высоко в горах на склонах в кедровой тайге. Дорога проходима только на вездеходе.",,,
chemalsk.csv,7 Чемаль. рн,240.0,287,26-Ч15,04:05:090101:778,0.12,30000.0,360000.0,30000.0,,"ОПТ, возможны скидки до 50%",Поставить в АВИТО,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,378122.0,,,"№2 КП Горный Кедр ЧЕБА (р.ЧЕБА) | Для горно таежной туристической заимки, глемпов, для сельского хозяйства ( вся тайга ваша!). Уч-к высоко в горах на склонах в кедровой тайге. Дорога проходима только на вездеходе.",,,
chemalsk.csv,7 Чемаль. рн,241.0,288,26-Ч16,04:05:090101:779,0.12,30000.0,360000.0,30000.0,,"ОПТ, возможны скидки до 50%",Поставить в АВИТО,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,378122.0,,,"№2 КП Горный Кедр ЧЕБА (р.ЧЕБА) | Для горно таежной туристической заимки, глемпов, для сельского хозяйства ( вся тайга ваша!). Уч-к высоко в горах на склонах в кедровой тайге. Дорога проходима только на вездеходе.",,,
chemalsk.csv,7 Чемаль. рн,242.0,289,26-Ч17,04:05:090101:780,0.12,30000.0,360000.0,30000.0,,"ОПТ, возможны скидки до 50%",Поставить в АВИТО,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,378122.0,,,"№2 КП Горный Кедр ЧЕБА (р.ЧЕБА) | Для горно таежной туристической заимки, глемпов, для сельского хозяйства ( вся тайга ваша!). Уч-к высоко в горах на склонах в кедровой тайге. Дорога проходима только на вездеходе.",,,
chemalsk.csv,7 Чемаль. рн,243.0,290,26-Ч18,04:05:090101:781,0.12,30000.0,360000.0,30000.0,,"ОПТ, возможны скидки до 50%",Поставить в АВИТО,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,378122.0,,,"№2 КП Горный Кедр ЧЕБА (р.ЧЕБА) | Для горно таежной туристической заимки, глемпов, для сельского хозяйства ( вся тайга ваша!). Уч-к высоко в горах на склонах в кедровой тайге. Дорога проходима только на вездеходе.",,,
chemalsk.csv,7 Чемаль. рн,244.0,291,26-Ч19,04:05:090101:782,0.12,30000.0,360000.0,30000.0,,"ОПТ, возможны скидки до 50%",Поставить в АВИТО,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,378122.0,,,"№2 КП Горный Кедр ЧЕБА (р.ЧЕБА) | Для горно таежной туристической заимки, глемпов, для сельского хозяйства ( вся тайга ваша!). Уч-к высоко в горах на склонах в кедровой тайге. Дорога проходима только на вездеходе.",,,
chemalsk.csv,7 Чемаль. рн,245.0,292,26-Ч20,04:05:090101:783,0.1157,30000.0,347100.0,30000.0,,"ОПТ, возможны скидки до 50%",Поставить в АВИТО,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,364572.0,,,"№2 КП Горный Кедр ЧЕБА (р.ЧЕБА) | Для горно таежной туристической заимки, глемпов, для сельского хозяйства ( вся тайга ваша!). Уч-к высоко в горах на склонах в кедровой тайге. Дорога проходима только на вездеходе.",,,
chemalsk.csv,7 Чемаль. рн,246.0,293,26-Ч21,04:05:090101:784,0.1062,30000.0,318600.0,30000.0,,"ОПТ, возможны скидки до 50%",Поставить в АВИТО,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,334638.0,,,"№2 КП Горный Кедр ЧЕБА (р.ЧЕБА) | Для горно таежной туристической заимки, глемпов, для сельского хозяйства ( вся тайга ваша!). Уч-к высоко в горах на склонах в кедровой тайге. Дорога проходима только на вездеходе.",,,
chemalsk.csv,7 Чемаль. рн,247.0,294,26-Ч22,04:05:090101:785,0.12,30000.0,360000.0,30000.0,,"ОПТ, возможны скидки до 50%",Поставить в АВИТО,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,378122.0,,,"№2 КП Горный Кедр ЧЕБА (р.ЧЕБА) | Для горно таежной туристической заимки, глемпов, для сельского хозяйства ( вся тайга ваша!). Уч-к высоко в горах на склонах в кедровой тайге. Дорога проходима только на вездеходе.",,,
chemalsk.csv,7 Чемаль. рн,248.0,295,26-Ч23,04:05:090101:786,0.178,30000.0,534000.0,30000.0,,"ОПТ, возможны скидки до 50%",Поставить в АВИТО,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,560880.0,,,"№2 КП Горный Кедр ЧЕБА (р.ЧЕБА) | Для горно таежной туристической заимки, глемпов, для сельского хозяйства ( вся тайга ваша!). Уч-к высоко в горах на склонах в кедровой тайге. Дорога проходима только на вездеходе.",,,
chemalsk.csv,7 Чемаль. рн,249.0,296,26-Ч24,04:05:090101:787,0.12,30000.0,360000.0,30000.0,,"ОПТ, возможны скидки до 50%",Поставить в АВИТО,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,378122.0,,,"№2 КП Горный Кедр ЧЕБА (р.ЧЕБА) | Для горно таежной туристической заимки, глемпов, для сельского хозяйства ( вся тайга ваша!). Уч-к высоко в горах на склонах в кедровой тайге. Дорога проходима только на вездеходе.",,,
chemalsk.csv,7 Чемаль. рн,250.0,297,26-Ч25,04:05:090101:788,0.12,30000.0,360000.0,30000.0,,"ОПТ, возможны скидки до 50%",Поставить в АВИТО,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,378122.0,,,"№2 КП Горный Кедр ЧЕБА (р.ЧЕБА) | Для горно таежной туристической заимки, глемпов, для сельского хозяйства ( вся тайга ваша!). Уч-к высоко в горах на склонах в кедровой тайге. Дорога проходима только на вездеходе.",,,
