source_file,region,number,source_row,article,cadastral_number,area_ha,price_per_sotka_rub,price_per_plot_rub,sale_price_rub,discount_limit_percent,wholesale_only,service_notes,recommended_usage,land_use,owner,partner,right_date,balance_value,valuation_per_sotka,valuation_per_plot,context,recommendations,location_description,best_use
chemalsk.csv,7 Чемаль. рн,113.0,147,22-Ч9,04:05:090101:750,0.1053,70000.0,737100.0,,,,срочная продажа,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,326854.0,,,"№2 р.ЧЕБА (по дороге вдоль реки) | Участки к юго-западу от устья реки Ложа. Полностью покрыты лесом, на левом берегу реки, заходят на юго-западный склон.","ДОРОГА, РЕКА",,
chemalsk.csv,7 Чемаль. рн,114.0,148,22-Ч11,04:05:090101:752,0.1088,30000.0,326400.0,,,,срочная продажа,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,337718.0,,,"№2 р.ЧЕБА (по дороге вдоль реки) | Участки к юго-западу от устья реки Ложа. Полностью покрыты лесом, на левом берегу реки, заходят на юго-западный склон.",РЕКА,,
chemalsk.csv,7 Чемаль. рн,116.0,150,22-Ч13,04:05:090101:754,0.1025,30000.0,307500.0,,,,срочная продажа,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,318162.0,,,"№2 р.ЧЕБА (по дороге вдоль реки) | Участки к юго-западу от устья реки Ложа. Полностью покрыты лесом, на левом берегу реки, заходят на юго-западный склон.",,,
chemalsk.csv,7 Чемаль. рн,117.0,151,22-Ч14,04:05:090101:755,0.1275,30000.0,382500.0,,,,срочная продажа,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,395763.0,,,"№2 р.ЧЕБА (по дороге вдоль реки) | Участки к юго-западу от устья реки Ложа. Полностью покрыты лесом, на левом берегу реки, заходят на юго-западный склон.",РЕКА (ЗАХВАТЫВАЕТ УГОЛОК),,
chemalsk.csv,7 Чемаль. рн,118.0,152,22-Ч15,04:05:090101:756,0.1918,50000.0,959000.0,,,,срочная продажа,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,595352.0,,,"№2 р.ЧЕБА (по дороге вдоль реки) | Участки к юго-западу от устья реки Ложа. Полностью покрыты лесом, на левом берегу реки, заходят на юго-западный склон.","ДОРОГА, РЕКА",,
chemalsk.csv,7 Чемаль. рн,119.0,153,22-Ч16,04:05:090101:757,0.1146,70000.0,802200.0,,,,срочная продажа,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,355721.0,,,"№2 р.ЧЕБА (по дороге вдоль реки) | Участки к юго-западу от устья реки Ложа. Полностью покрыты лесом, на левом берегу реки, заходят на юго-западный склон.","ДОРОГА, РЕКА",,
chemalsk.csv,7 Чемаль. рн,121.0,155,22-Ч18,04:05:090101:759,0.1241,40000.0,496400.0,,,,срочная продажа,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,385209.0,,,"№2 р.ЧЕБА (по дороге вдоль реки) | Участки к юго-западу от устья реки Ложа. Полностью покрыты лесом, на левом берегу реки, заходят на юго-западный склон.",,,
chemalsk.csv,7 Чемаль. рн,122.0,156,22-Ч19,04:05:090101:760,0.146,40000.0,584000.0,,,,срочная продажа,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,453187.0,,,"№2 р.ЧЕБА (по дороге вдоль реки) | Участки к юго-западу от устья реки Ложа. Полностью покрыты лесом, на левом берегу реки, заходят на юго-западный склон.","ДОРОГА, РЕКА",,
chemalsk.csv,7 Чемаль. рн,123.0,157,22-Ч20,04:05:090101:761,0.1203,40000.0,481200.0,,,,срочная продажа,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,373414.0,,,"№2 р.ЧЕБА (по дороге вдоль реки) | Участки к юго-западу от устья реки Ложа. Полностью покрыты лесом, на левом берегу реки, заходят на юго-западный склон.",РЕКА,,
chemalsk.csv,7 Чемаль. рн,124.0,158,22-Ч21,04:05:090101:762,0.1423,40000.0,569200.0,,,,срочная продажа,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,441703.0,,,"№2 р.ЧЕБА (по дороге вдоль реки) | Участки к юго-западу от устья реки Ложа. Полностью покрыты лесом, на левом берегу реки, заходят на юго-западный склон.",РЕКА,,
chemalsk.csv,7 Чемаль. рн,125.0,159,22-Ч22,04:05:090101:763,0.1297,40000.0,518800.0,,,,срочная продажа,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-20,402902.0,,,"№2 р.ЧЕБА (по дороге вдоль реки) | Участки к юго-западу от устья реки Ложа. Полностью покрыты лесом, на левом берегу реки, заходят на юго-западный склон.",РЕКА,,
chemalsk.csv,7 Чемаль. рн,128.0,168,23-Ч2,04:05:090101:962,0.1303,50000.0,651500.0,,,,срочная продажа,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-23,377863.0,,,"№4 р.ЧЕБА (по дороге вдоль реки) | Узкий и длинный участок к юго-западу от устья прозрачной горной реки Ложа, протекающей среди тайги и скал. Частично покрыты лесом, местами захватывают реку. В верхней части кедровая тайга, где местные жители промышляют кедровый орех.",РЕКА,"Лес, рядом река Чеба. Дорога рядом.",
chemalsk.csv,7 Чемаль. рн,129.0,169,23-Ч3,04:05:090101:963,0.1328,50000.0,664000.0,,,,срочная продажа,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-23,385112.0,,,"№4 р.ЧЕБА (по дороге вдоль реки) | Узкий и длинный участок к юго-западу от устья прозрачной горной реки Ложа, протекающей среди тайги и скал. Частично покрыты лесом, местами захватывают реку. В верхней части кедровая тайга, где местные жители промышляют кедровый орех.","ДОРОГА, РЕКА","Лес, рядом река Чеба. Дорога рядом.",
chemalsk.csv,7 Чемаль. рн,130.0,170,23-Ч4,04:05:090101:964,0.1753,50000.0,876500.0,,,,срочная продажа,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-23,508360.0,,,"№4 р.ЧЕБА (по дороге вдоль реки) | Узкий и длинный участок к юго-западу от устья прозрачной горной реки Ложа, протекающей среди тайги и скал. Частично покрыты лесом, местами захватывают реку. В верхней части кедровая тайга, где местные жители промышляют кедровый орех.","ДОРОГА, РЕКА","Лес, рядом река Чеба. Дорога рядом.",
chemalsk.csv,7 Чемаль. рн,134.0,174,23-Ч8,04:05:090101:968,0.1417,50000.0,708500.0,,,,срочная продажа,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-23,410922.0,,,"№4 р.ЧЕБА (по дороге вдоль реки) | Узкий и длинный участок к юго-западу от устья прозрачной горной реки Ложа, протекающей среди тайги и скал. Частично покрыты лесом, местами захватывают реку. В верхней части кедровая тайга, где местные жители промышляют кедровый орех.",,Лес. Река Чеба по участку.,
chemalsk.csv,7 Чемаль. рн,135.0,175,23-Ч9,04:05:090101:969,0.1378,50000.0,689000.0,,,,срочная продажа,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-23,399612.0,,,"№4 р.ЧЕБА (по дороге вдоль реки) | Узкий и длинный участок к юго-западу от устья прозрачной горной реки Ложа, протекающей среди тайги и скал. Частично покрыты лесом, местами захватывают реку. В верхней части кедровая тайга, где местные жители промышляют кедровый орех.",,Лес. Река Чеба по участку.,
chemalsk.csv,7 Чемаль. рн,143.0,183,23-Ч17,04:05:090101:977,0.1291,50000.0,645500.0,,,,срочная продажа,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-23,374383.0,,,"№4 р.ЧЕБА (по дороге вдоль реки) | Узкий и длинный участок к юго-западу от устья прозрачной горной реки Ложа, протекающей среди тайги и скал. Частично покрыты лесом, местами захватывают реку. В верхней части кедровая тайга, где местные жители промышляют кедровый орех.",ДОРОГА,"Лес, рядом река Чеба. Дорога рядом.",
chemalsk.csv,7 Чемаль. рн,144.0,184,23-Ч18,04:05:090101:978,0.1855,50000.0,927500.0,,,,срочная продажа,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-23,537940.0,,,"№4 р.ЧЕБА (по дороге вдоль реки) | Узкий и длинный участок к юго-западу от устья прозрачной горной реки Ложа, протекающей среди тайги и скал. Частично покрыты лесом, местами захватывают реку. В верхней части кедровая тайга, где местные жители промышляют кедровый орех.",ДОРОГА (ПО КРАЮ ВДОЛЬ УЧАСТКА),"Лес, рядом река Чеба. Дорога рядом.",
chemalsk.csv,7 Чемаль. рн,145.0,185,23-Ч19,04:05:090101:979,0.1763,70000.0,1234100.0,,,,срочная продажа,"2, 4, 5, 7, 9",КФХ,Семь Звёзд-Тур,,2025-01-23,511260.0,,,"№4 р.ЧЕБА (по дороге вдоль реки) | Узкий и длинный участок к юго-западу от устья прозрачной горной реки Ложа, протекающей среди тайги и скал. Частично покрыты лесом, местами захватывают реку. В верхней части кедровая тайга, где местные жители промышляют кедровый орех.","ДОРОГА, РЕКА (РЕКА МАЛЕНЬКИЙ УГОЛОК)",,
